FIPS,NAME,STATE,2018POP
24047,Worcester , Maryland,51564
24510,Baltimore City, Maryland,614700
24041,Talbot , Maryland,37211
24025,Harford , Maryland,251025
24027,Howard , Maryland,315327
24003,Anne Arundel , Maryland,567696
24005,Baltimore , Maryland,827625
24009,Calvert , Maryland,91082
24023,Garrett , Maryland,29376
24031,Montgomery , Maryland,1040133
24013,Carroll , Maryland,167522
24035,Queen Anne's , Maryland,49355
24037,St. Mary's , Maryland,111531
24017,Charles , Maryland,157671
24019,Dorchester , Maryland,32261
24043,Washington , Maryland,149811
24045,Wicomico , Maryland,102172
24015,Cecil , Maryland,102517
24011,Caroline , Maryland,32875
24039,Somerset , Maryland,25737
24001,Allegany , Maryland,71977
24033,Prince George's , Maryland,906202
24021,Frederick , Maryland,248472
24029,Kent , Maryland,19593
